"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"ES";"PROFESSORA ANA LUCIA";"PMB";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";57
2018;"DF";"RISOMAR CARVALHO";"PSD";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO DISTRITAL";"N";47
2018;"SP";"DR. TIPÓ";"PHS";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";53
2018;"RJ";"SORAYA FONTES ";"PHS";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";55
2018;"CE";"URANDI MATOS";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";53
2018;"MT";"MAX CAMPOS";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";40
2018;"MT";"JORDÃO JORDÂNIA";"PRP";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";68
2018;"SP";"JOSÉ MARIO BRASILIENSE";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";57
2018;"SP";"JEFFERSON CAPRONI";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";33
2018;"RO";"LAMARÃO DA SAÚDE";"PODE";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";50
2018;"CE";"PROFESSORA ERONILDE RABELO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";69
2018;"DF";"CAROL LIMA";"PTC";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO DISTRITAL";"N";37
2018;"SP";"TIAGO WISKY";"PMB";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";33
2018;"PR";"MARCINHO";"PDT";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";41
2018;"RJ";"ENFERMEIRA SONIA";"PDT";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";48
2018;"MG";"ZÉ MAURÍCIO";"PC do B";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";47
2018;"SP";"ENFERMEIRA PATRICIA";"PROS";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";52
2018;"SP";"LOURDES CAVALCANTI";"PROS";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO FEDERAL";"N";69
2018;"RJ";"FRANCIS DO GUANDU";"PRP";"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"DEPUTADO FEDERAL";"N";30
2018;"RN";"LUIZ GOMES";"PATRI";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";55
2018;"SP";"NILSON BONOME";"PRB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";44
2018;"BA";"SAULO CALMON";"DEM";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";35
2018;"RJ";"ROSE MOURA";"DEM";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";50
2018;"RN";"BENES LEOCADIO";"PTC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";52
2018;"GO";"VERA LÚCIA";"MDB";"FEMININO";"SUPERIOR COMPLETO";"2º SUPLENTE";"N";60
